"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"8ade38d6c1396cc32395e6773d53ae373734314c","  61384","Lynx rufus","species",NA,"Metazoa","Chordata","Mammalia","Carnivora","Felidae","Lynx","Lynx rufus"
"580a64b0134da56e49bf06482ed6ee164d8a6ec5","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"30742d31b3cc7a387b96133d0998ecee07c83597","   9347","Eutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"7aa929fd12fc38856e105d3092ae8752af4b44da","   9321","Osphranter rufus","species",NA,"Metazoa","Chordata","Mammalia","Diprotodontia","Macropodidae","Osphranter","Osphranter rufus"
"c161735732d10ef81323d9b5812491897d2eb5ab"," 337687","Muroidea","clade","1.0000","Metazoa","Chordata","Mammalia","Rodentia","","",""
"c6d586dc78d8ef5cac238cba2d5714407775bd69","  33213","Bilateria","clade",NA,"Metazoa","","","","","",""
"f5eff4f6cfa27ce87100f93e7674f050a7e2fdbd","   9881","Odocoileinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Artiodactyla","Cervidae","",""
"2108e3ae4bfad9cc5a6d1f18dc1de351b5b7ac3f"," 337687","Muroidea","clade","1.0000","Metazoa","Chordata","Mammalia","Rodentia","","",""
"31f58f5089fdc196a53e11198d538061dd41bb97","   8295","Ambystoma","genus","1.0000","Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"1d2afe6b4c6cfb903dbf4f9909690cdcbebeff16","   9611","Canis","genus",NA,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis",""
"e3bb86462242cc75b2d9159e96f588a2ca09a5d3","  10114","Rattus","genus",NA,"Metazoa","Chordata","Mammalia","Rodentia","Muridae","Rattus",""
"ca4009e9f4961a466d717e77ddddcf64a374073d","   8830","Anatidae","family",NA,"Metazoa","Chordata","Aves","Anseriformes","Anatidae","",""
"3fa5cad0e8bd81303eed0492a7c0dd91d85747be","   9653","Procyon","genus",NA,"Metazoa","Chordata","Mammalia","Carnivora","Procyonidae","Procyon",""
"0af50c9e935876232e242db91bb835235691bf3a","   8295","Ambystoma","genus","1.0000","Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"63a7d0273f9bdd41fc062c411d5c529730a67ff1"," 337752","Sciurini","tribe","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"f5b5aded2ca74ffb7f6b02448ffa90a36de662df"," 337963","Neotominae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","",""
"2888591f23daf76ef3ae53a7d4bd6ffe13361bb8","  39087","Arvicolinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","",""
"8001433422f2dfb9b7333084b5ae4a31130f34f2","   9653","Procyon","genus","1.0000","Metazoa","Chordata","Mammalia","Carnivora","Procyonidae","Procyon",""
"e65f511d819ef32a2941c6d56d076a8616b71c25","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"091608e9343c9f2c79ff64e3fcfbcdfbce8653bc","  69292","Gasterosteus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"5dbce0075732b37e517721c275ba3c2e14e50196","   9611","Canis","genus",NA,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis",""
"76918abfaa90d218d683fdbc4f8024dd430d7d91","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"49b916c007d3dbb75da7ceb655dd8cefb4e15ac4","   8098","Cottus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Cottus",""
"5c024b1d5c5f25af45599d69bd92b8837b2ba62f","   9987","Sylvilagus","genus",NA,"Metazoa","Chordata","Mammalia","Lagomorpha","Leporidae","Sylvilagus",""
